ein,cik,name,state_inc,hq_state,hq_city,sic,sic_desc,tickers,former_names,last_filing
208235463,0001393052,VEEVA SYSTEMS INC,DE,CA,PLEASANTON,7372,Services-Prepackaged Software,VEEV,VERTICALS ONDEMAND INC,2026-09-16
341809003,0001075623,VENTURE PACKAGING MIDWEST INC,OH,IN,EVANSVILLE,3089,"Plastics Products, NEC",,,2025-01-14
833686461,0001831322,VISPIRI Inc.,DE,OH,CLEVELAND,,,,,2026-05-22
462190696,0001667576,"Vantage Point Logistics, Inc.",DE,OH,COLUMBUS,,,,,2019-02-20
381490038,0000106640,WHIRLPOOL CORP /DE/,DE,MI,BENTON HARBOR,3630,Household Appliances,WHR WHR-PA,,2026-08-19
361178800,0000107078,WILBERT INC,DE,IL,FOREST PARK,,,,,2001-05-11
134996950,0001085831,WILCAUKAS EUGENE F,DE,NJ,PRINCETON,2840,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",,,2000-03-10
134996950,0001037396,WILCAUSKAS EUGENE F,DE,NJ,PRINCETON,2840,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",,,1998-02-17
134994650,0001669574,"Warehouse Funding Avery Point VII, LLC",DE,MA,BOSTON,,,,,2018-02-20
300225741,0001302977,Wornick CO,DE,OH,CINCINNATI,2030,"Canned, Frozen & Preservd Fruit, Veg & Food Specialties",,,2008-01-30
271202150,0001478484,"zulily, inc.",DE,WA,SEATTLE,5961,Retail-Catalog & Mail-Order Houses,,,2016-02-16
