ein,sponsor,sponsor_state,participants_2015,plans_2015,participants_2019,plans_2019,participants_2023,plans_2023
203815844,"INDUSTRIAL RELIABILITY AND REPAIR, LLC",OH,,,14,1,141,1
222988012,INEOS KOH INC.,OH,101,1,108,1,134,1
133290300,INEOS PIGMENTS USA INC.,MD,982,5,830,6,684,3
851418989,"INFINITY LABS, LLC",OH,,,,,50,1
201783964,"INFOTRUST, LLC",OH,,,38,1,123,2
273889959,"INGAGE PARTNERS, INC.",OH,36,1,117,2,,
743254340,"INNOVATIVE CARD SOLUTIONS, LLC",OH,,,2,1,8,2
474281000,INNOVATIVE CLEANING SERVIC,OH,,,4,1,3,2
382788802,"INOAC EXTERIOR SYSTEMS, LLC",OH,582,6,850,6,882,6
330989359,"INOGEN, INC.",CA,437,2,1249,2,1708,2
260902522,INSIGHT CATASTROPHE GROUP,NJ,127,2,248,2,560,2
911577949,"INTEGRATED STAIR SYSTEMS, INC.",WA,,,,,93,1
941672743,INTEL CORPORATION,CA,64535,17,73355,17,85013,17
130871985,INTERNATIONAL BUSINESS MACHINES CORPORATION,NY,294925,14,269426,14,179075,14
130872805,INTERNATIONAL PAPER COMPANY,TN,181544,28,83585,29,82269,30
860802110,"INTERNATIONAL TECHNICAL COATINGS, INC.",AZ,231,3,226,2,448,2
261226551,INTEVA PRODUCTS LLC,MI,1526,4,1512,4,1284,4
952680965,INVACARE CORPORATION,OH,2333,3,1837,4,1417,2
202093507,IRON CITY PIPE & SUPPLY,OH,15,1,11,1,13,1
208192116,"ISS AMERICA, INC.",OH,,,94,1,39,1
272696689,"ISSQUARED, INC.",CA,5,1,36,1,81,1
351989444,ITM MARKETING INC.,OH,68,1,77,1,68,1
570276334,J M SMITH CORPORATION,SC,1263,3,1882,2,908,2
341873488,"J.B.K. GROUP, INC.",OH,60,1,190,1,194,1
381888757,"JAC PRODUCTS, INC.",MI,1363,2,1910,2,1599,1
273409599,"JAFE DECORATING, INC.",OH,,,,,86,1
311277407,JBM PACKAGING COMPANY,OH,147,2,161,2,156,2
471425443,JCS MANUFACTURING LLC,OH,,,,,3,2
311239446,JEFFERSON INDUSTRIES CORP.,OH,603,1,725,2,707,2
340720629,"JO-ANN STORES, LLC",OH,25526,2,24715,2,22063,2
980208105,JOHNSON ELECTRIC NORTH AMERICA HOLDING INC.,OH,1005,2,988,2,1095,2
205125549,JPLC LLC DBA JUPMODE,OH,,,,,12,2
134994650,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",NJ,301571,9,302478,9,293723,9
341949320,"JR MANUFACTURING, INC.",OH,202,2,313,2,246,2
813308222,"JSW STEEL USA OHIO, INC.",OH,,,333,1,345,1
471505953,JUGGERBOT 3D LLC,OH,,,,,4,1
341282776,"K & M INTERNATIONAL, INC.",OH,97,1,107,1,129,1
521762325,KADANT INC.,MA,623,3,944,3,1355,2
310332880,KAO USA INC.,OH,835,1,949,1,960,1
204014729,"KASPER HOLDINGS, LLC",OH,,,,,131,1
311309353,"KC ROBOTICS, INC.",OH,17,1,22,1,42,1
452583478,"KEIHIN THERMAL TECHNOLOGY OF AMERICA, INC.",OH,363,1,609,7,,
341019273,KEIM LUMBER COMPANY,OH,388,2,459,2,603,2
341942414,"KELLER LOGISTICS GROUP, INC.",OH,376,2,464,2,822,3
316034125,"KEMBA CREDIT UNION, INC.",OH,167,3,248,3,315,3
363621191,"KENO KOZIE ASSOCIATES, INC.",IL,212,1,332,4,,
990365994,"KLARNA, INC.",OH,7,1,131,1,955,2
